w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
-1638/-6, 1/-6, 24/-6, 18/-6, 432/-6, 30/-6, 720/-6, 324/-6, 7776/-6, 900/-6, 21600/-6, 27000/-6
1134/26, 1/26, 18/26, 44/26, 792/26, -8/26, -144/26, 1936/26, 34848/26, 64/26, 1152/26, -512/26
2220/-28, 1/-28, -4/-28, -32/-28, 128/-28, 24/-28, -96/-28, 1024/-28, -4096/-28, 576/-28, -2304/-28, 13824/-28
-570/2, 1/2, -14/2, -12/2, 168/2, -16/2, 224/2, 144/2, -2016/2, 256/2, -3584/2, -4096/2
57/-5, 1/-5, 1/-5, -4/-5, -4/-5, 6/-5, 6/-5, 16/-5, 16/-5, 36/-5, 36/-5, 216/-5
-1092/20, 1/20, 28/20, 48/20, 1344/20, 8/20, 224/20, 2304/20, 64512/20, 64/20, 1792/20, 512/20
-1257/-11, 1/-11, 23/-11, 12/-11, 276/-11, 34/-11, 782/-11, 144/-11, 3312/-11, 1156/-11, 26588/-11, 39304/-11
168/-8, 1/-8, 0/-8, -8/-8, 0/-8, 8/-8, 0/-8, 64/-8, 0/-8, 64/-8, 0/-8, 512/-8
2121/27, 1/27, 7/27, 34/27, 238/27, -20/27, -140/27, 1156/27, 8092/27, 400/27, 2800/27, -8000/27
-1536/-17, 1/-17, 28/-17, 11/-17, 308/-17, 45/-17, 1260/-17, 121/-17, 3388/-17, 2025/-17, 56700/-17, 91125/-17
1374/-22, 1/-22, 2/-22, -20/-22, -40/-22, 24/-22, 48/-22, 400/-22, 800/-22, 576/-22, 1152/-22, 13824/-22
954/-22, 1/-22, -12/-22, -34/-22, 408/-22, 10/-22, -120/-22, 1156/-22, -13872/-22, 100/-22, -1200/-22, 1000/-22
684/-24, 1/-24, 18/-24, -6/-24, -108/-24, 42/-24, 756/-24, 36/-24, 648/-24, 1764/-24, 31752/-24, 74088/-24
1143/21, 1/21, 9/21, 30/21, 270/21, -12/21, -108/21, 900/21, 8100/21, 144/21, 1296/21, -1728/21
1848/28, 1/28, -14/28, 14/28, -196/28, -42/28, 588/28, 196/28, -2744/28, 1764/28, -24696/28, -74088/28
672/15, 1/15, 4/15, 19/15, 76/15, -11/15, -44/15, 361/15, 1444/15, 121/15, 484/15, -1331/15
-1107/8, 1/8, 21/8, 29/8, 609/8, 13/8, 273/8, 841/8, 17661/8, 169/8, 3549/8, 2197/8
-927/-21, 1/-21, 27/-21, 6/-21, 162/-21, 48/-21, 1296/-21, 36/-21, 972/-21, 2304/-21, 62208/-21, 110592/-21
1293/-24, 1/-24, -11/-24, -35/-24, 385/-24, 13/-24, -143/-24, 1225/-24, -13475/-24, 169/-24, -1859/-24, 2197/-24
1182/-26, 1/-26, 16/-26, -10/-26, -160/-26, 42/-26, 672/-26, 100/-26, 1600/-26, 1764/-26, 28224/-26, 74088/-26
-387/24, 1/24, 27/24, 51/24, 1377/24, 3/24, 81/24, 2601/24, 70227/24, 9/24, 243/24, 27/24
-291/-9, 1/-9, 13/-9, 4/-9, 52/-9, 22/-9, 286/-9, 16/-9, 208/-9, 484/-9, 6292/-9, 10648/-9
90/5, 1/5, 0/5, 5/5, 0/5, -5/5, 0/5, 25/5, 0/5, 25/5, 0/5, -125/5
-1560/-8, 1/-8, -24/-8, -32/-8, 768/-8, -16/-8, 384/-8, 1024/-8, -24576/-8, 256/-8, -6144/-8, -4096/-8
243/-10, 1/-10, -3/-10, -13/-10, 39/-10, 7/-10, -21/-10, 169/-10, -507/-10, 49/-10, -147/-10, 343/-10
87/10, 1/10, 9/10, 19/10, 171/10, -1/10, -9/10, 361/10, 3249/10, 1/10, 9/10, -1/10
1938/25, 1/25, -2/25, 23/25, -46/25, -27/25, 54/25, 529/25, -1058/25, 729/25, -1458/25, -19683/25
519/-14, 1/-14, 3/-14, -11/-14, -33/-14, 17/-14, 51/-14, 121/-14, 363/-14, 289/-14, 867/-14, 4913/-14
-801/21, 1/21, -27/21, -6/21, 162/21, -48/21, 1296/21, 36/21, -972/21, 2304/21, -62208/21, -110592/21
-2262/5, 1/5, 28/5, 33/5, 924/5, 23/5, 644/5, 1089/5, 30492/5, 529/5, 14812/5, 12167/5
258/-30, 1/-30, 28/-30, -2/-30, -56/-30, 58/-30, 1624/-30, 4/-30, 112/-30, 3364/-30, 94192/-30, 195112/-30
-1059/16, 1/16, -25/16, -9/16, 225/16, -41/16, 1025/16, 81/16, -2025/16, 1681/16, -42025/16, -68921/16
-1527/-5, 1/-5, 23/-5, 18/-5, 414/-5, 28/-5, 644/-5, 324/-5, 7452/-5, 784/-5, 18032/-5, 21952/-5
843/22, 1/22, 15/22, 37/22, 555/22, -7/22, -105/22, 1369/22, 20535/22, 49/22, 735/22, -343/22
-732/12, 1/12, 20/12, 32/12, 640/12, 8/12, 160/12, 1024/12, 20480/12, 64/12, 1280/12, 512/12
2310/-30, 1/-30, 10/-30, -20/-30, -200/-30, 40/-30, 400/-30, 400/-30, 4000/-30, 1600/-30, 16000/-30, 64000/-30
-237/1, 1/1, 9/1, 10/1, 90/1, 8/1, 72/1, 100/1, 900/1, 64/1, 576/1, 512/1
498/25, 1/25, 22/25, 47/25, 1034/25, -3/25, -66/25, 2209/25, 48598/25, 9/25, 198/25, -27/25
387/-15, 1/-15, -9/-15, -24/-15, 216/-15, 6/-15, -54/-15, 576/-15, -5184/-15, 36/-15, -324/-15, 216/-15
-498/-10, 1/-10, 16/-10, 6/-10, 96/-10, 26/-10, 416/-10, 36/-10, 576/-10, 676/-10, 10816/-10, 17576/-10
1275/25, 1/25, 15/25, 40/25, 600/25, -10/25, -150/25, 1600/25, 24000/25, 100/25, 1500/25, -1000/25
-1110/-18, 1/-18, -26/-18, -44/-18, 1144/-18, -8/-18, 208/-18, 1936/-18, -50336/-18, 64/-18, -1664/-18, -512/-18
-2226/6, 1/6, 28/6, 34/6, 952/6, 22/6, 616/6, 1156/6, 32368/6, 484/6, 13552/6, 10648/6
-138/-15, 1/-15, -16/-15, -31/-15, 496/-15, -1/-15, 16/-15, 961/-15, -15376/-15, 1/-15, -16/-15, -1/-15
-63/-21, 1/-21, 21/-21, 0/-21, 0/-21, 42/-21, 882/-21, 0/-21, 0/-21, 1764/-21, 37044/-21, 74088/-21
