V, E, F, Omega
387, 1119, 740, 7
286, 828, 548, 5
158, 456, 302, 3
117, 339, 225, 2
494, 1428, 944, 9
432, 1248, 825, 8
424, 1218, 804, 9
459, 1335, 884, 7
244, 708, 469, 4
160, 456, 301, 4
393, 1125, 742, 9
301, 873, 578, 5
270, 786, 521, 4
363, 1041, 687, 8
201, 579, 383, 4
276, 798, 528, 5
42, 108, 70, 3
565, 1641, 1086, 9
622, 1806, 1195, 10
369, 1071, 709, 6
172, 492, 325, 4
124, 360, 239, 2
172, 480, 315, 6
239, 693, 459, 4
464, 1332, 879, 10
67, 189, 125, 2
80, 234, 156, 1
27, 75, 50, 1
176, 510, 338, 3
200, 576, 381, 4
370, 1056, 696, 9
231, 657, 433, 6
530, 1530, 1011, 10
145, 411, 271, 4
349, 1011, 669, 6
157, 453, 300, 3
458, 1332, 882, 7
252, 726, 480, 5
142, 414, 275, 2
72, 210, 140, 1
265, 765, 506, 5
627, 1821, 1205, 10
345, 993, 656, 7
148, 426, 282, 3
517, 1503, 995, 8
490, 1410, 931, 10
464, 1344, 889, 8
269, 771, 509, 6
114, 330, 219, 2
54, 156, 104, 1
276, 786, 518, 7
414, 1188, 784, 9
131, 375, 248, 3
43, 117, 77, 2
445, 1287, 851, 8
60, 168, 111, 2
8, 18, 12, 1
29, 81, 54, 1
249, 717, 474, 5
680, 1980, 1311, 10
173, 495, 327, 4
104, 294, 194, 3
293, 843, 557, 6
37, 105, 70, 1
139, 399, 264, 3
266, 762, 503, 6
95, 273, 181, 2
406, 1170, 773, 8
41, 117, 78, 1
391, 1137, 753, 6
279, 795, 524, 7
52, 150, 100, 1
15, 39, 26, 1
479, 1395, 924, 7
151, 429, 283, 4
234, 672, 444, 5
103, 297, 197, 2
70, 204, 136, 1
417, 1203, 795, 8
30, 84, 56, 1
415, 1185, 781, 10
516, 1500, 993, 8
404, 1176, 779, 6
457, 1311, 865, 10
270, 780, 516, 5
170, 462, 301, 8
232, 666, 440, 5
197, 573, 380, 3
543, 1575, 1042, 9
605, 1755, 1161, 10
382, 1104, 730, 7
183, 531, 352, 3
199, 567, 374, 5
274, 780, 514, 7
222, 636, 420, 5
454, 1320, 874, 7
110, 312, 206, 3
375, 1065, 701, 10
539, 1557, 1029, 10
472, 1368, 905, 8
