w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
-237, 1, 9, 10, 90, 8, 72, 100, 900, 64, 576, 512
-2517, 1, 29, 30, 870, 28, 812, 900, 26100, 784, 22736, 21952
-6, 1, -2, -1, 2, -3, 6, 1, -2, 9, -18, -27
-357, 1, 11, 12, 132, 10, 110, 144, 1584, 100, 1100, 1000
2187, -1, -27, -26, -702, -28, -756, -676, -18252, -784, -21168, -21952
-2346, 1, 28, 29, 812, 27, 756, 841, 23548, 729, 20412, 19683
972, -1, 18, 19, -342, 17, -306, -361, 6498, -289, 5202, 4913
-186, 1, 8, 9, 72, 7, 56, 81, 648, 49, 392, 343
3, 1, 1, 2, 2, 0, 0, 4, 4, 0, 0, 0
363, -1, -11, -10, -110, -12, -132, -100, -1100, -144, -1584, -1728
-2022, 1, -26, -25, 650, -27, 702, 625, -16250, 729, -18954, -19683
-1077, 1, 19, 20, 380, 18, 342, 400, 7600, 324, 6156, 5832
588, -1, -14, -13, -182, -15, -210, -169, -2366, -225, -3150, -3375
-2346, 1, -28, -27, 756, -29, 812, 729, -20412, 841, -23548, -24389
-2517, 1, -29, -28, 812, -30, 870, 784, -22736, 900, -26100, -27000
1083, -1, 19, 20, -380, 18, -342, -400, 7600, -324, 6156, 5832
675, -1, 15, 16, -240, 14, -210, -256, 3840, -196, 2940, 2744
192, -1, 8, 9, -72, 7, -56, -81, 648, -49, 392, 343
-501, 1, 13, 14, 182, 12, 156, 196, 2548, 144, 1872, 1728
-861, 1, 17, 18, 306, 16, 272, 324, 5508, 256, 4352, 4096
27, -1, 3, 4, -12, 2, -6, -16, 48, -4, 12, 8
-1317, 1, 21, 22, 462, 20, 420, 484, 10164, 400, 8400, 8000
147, -1, -7, -6, -42, -8, -56, -36, -252, -64, -448, -512
768, -1, 16, 17, -272, 15, -240, -289, 4624, -225, 3600, 3375
48, -1, -4, -3, -12, -5, -20, -9, -36, -25, -100, -125
2700, -1, 30, 31, -930, 29, -870, -961, 28830, -841, 25230, 24389
-42, 1, -4, -3, 12, -5, 20, 9, -36, 25, -100, -125
-669, 1, -15, -14, 210, -16, 240, 196, -2940, 256, -3840, -4096
192, -1, -8, -7, -56, -9, -72, -49, -392, -81, -648, -729
3, -1, -1, 0, 0, -2, -2, 0, 0, -4, -4, -8
675, -1, -15, -14, -210, -16, -240, -196, -2940, -256, -3840, -4096
300, -1, -10, -9, -90, -11, -110, -81, -810, -121, -1210, -1331
-294, 1, -10, -9, 90, -11, 110, 81, -810, 121, -1210, -1331
2523, -1, -29, -28, -812, -30, -870, -784, -22736, -900, -26100, -27000
1200, -1, -20, -19, -380, -21, -420, -361, -7220, -441, -8820, -9261
1323, -1, -21, -20, -420, -22, -462, -400, -8400, -484, -10164, -10648
2523, -1, 29, 30, -870, 28, -812, -900, 26100, -784, 22736, 21952
48, -1, 4, 5, -20, 3, -12, -25, 100, -9, 36, 27
75, -1, 5, 6, -30, 4, -20, -36, 180, -16, 80, 64
-1446, 1, 22, 23, 506, 21, 462, 529, 11638, 441, 9702, 9261
-426, 1, 12, 13, 156, 11, 132, 169, 2028, 121, 1452, 1331
1323, -1, 21, 22, -462, 20, -420, -484, 10164, -400, 8400, 8000
-237, 1, -9, -8, 72, -10, 90, 64, -576, 100, -900, -1000
108, -1, 6, 7, -42, 5, -30, -49, 294, -25, 150, 125
12, -1, -2, -1, -2, -3, -6, -1, -2, -9, -18, -27
-357, 1, -11, -10, 110, -12, 132, 100, -1100, 144, -1584, -1728
1728, -1, -24, -23, -552, -25, -600, -529, -12696, -625, -15000, -15625
-762, 1, 16, 17, 272, 15, 240, 289, 4624, 225, 3600, 3375
-102, 1, 6, 7, 42, 5, 30, 49, 294, 25, 150, 125
-1446, 1, -22, -21, 462, -23, 506, 441, -9702, 529, -11638, -12167
867, -1, 17, 18, -306, 16, -272, -324, 5508, -256, 4352, 4096
-42, 1, 4, 5, 20, 3, 12, 25, 100, 9, 36, 27
768, -1, -16, -15, -240, -17, -272, -225, -3600, -289, -4624, -4913
363, -1, 11, 12, -132, 10, -110, -144, 1584, -100, 1100, 1000
-1077, 1, -19, -18, 342, -20, 380, 324, -6156, 400, -7600, -8000
2028, -1, 26, 27, -702, 25, -650, -729, 18954, -625, 16250, 15625
243, -1, -9, -8, -72, -10, -90, -64, -576, -100, -900, -1000
2700, -1, -30, -29, -870, -31, -930, -841, -25230, -961, -28830, -29791
-1317, 1, -21, -20, 420, -22, 462, 400, -8400, 484, -10164, -10648
2352, -1, -28, -27, -756, -29, -812, -729, -20412, -841, -23548, -24389
507, -1, -13, -12, -156, -14, -182, -144, -1872, -196, -2548, -2744
-861, 1, -17, -16, 272, -18, 306, 256, -4352, 324, -5508, -5832
1875, -1, 25, 26, -650, 24, -600, -676, 16900, -576, 14400, 13824
-1194, 1, -20, -19, 380, -21, 420, 361, -7220, 441, -8820, -9261
108, -1, -6, -5, -30, -7, -42, -25, -150, -49, -294, -343
1728, -1, 24, 25, -600, 23, -552, -625, 15000, -529, 12696, 12167
972, -1, -18, -17, -306, -19, -342, -289, -5202, -361, -6498, -6859
-1581, 1, 23, 24, 552, 22, 506, 576, 13248, 484, 11132, 10648
-582, 1, -14, -13, 182, -15, 210, 169, -2366, 225, -3150, -3375
-2694, 1, 30, 31, 930, 29, 870, 961, 28830, 841, 25230, 24389
3, 1, -1, 0, 0, -2, 2, 0, 0, 4, -4, -8
867, -1, -17, -16, -272, -18, -306, -256, -4352, -324, -5508, -5832
-102, 1, -6, -5, 30, -7, 42, 25, -150, 49, -294, -343
507, -1, 13, 14, -182, 12, -156, -196, 2548, -144, 1872, 1728
1083, -1, -19, -18, -342, -20, -380, -324, -6156, -400, -7600, -8000
-582, 1, 14, 15, 210, 13, 182, 225, 3150, 169, 2366, 2197
3, -1, 1, 2, -2, 0, 0, -4, 4, 0, 0, 0
588, -1, 14, 15, -210, 13, -182, -225, 3150, -169, 2366, 2197
-426, 1, -12, -11, 132, -13, 156, 121, -1452, 169, -2028, -2197
1587, -1, -23, -22, -506, -24, -552, -484, -11132, -576, -13248, -13824
-762, 1, -16, -15, 240, -17, 272, 225, -3600, 289, -4624, -4913
432, -1, -12, -11, -132, -13, -156, -121, -1452, -169, -2028, -2197
2028, -1, -26, -25, -650, -27, -702, -625, -16250, -729, -18954, -19683
-966, 1, -18, -17, 306, -19, 342, 289, -5202, 361, -6498, -6859
243, -1, 9, 10, -90, 8, -72, -100, 900, -64, 576, 512
-669, 1, 15, 16, 240, 14, 210, 256, 3840, 196, 2940, 2744
-2694, 1, -30, -29, 870, -31, 930, 841, -25230, 961, -28830, -29791
-21, 1, -3, -2, 6, -4, 12, 4, -12, 16, -48, -64
