w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
168/8, 1/8, 4/8, 12/8, 48/8, -4/8, -16/8, 144/8, 576/8, 16/8, 64/8, -64/8
1443/-26, 1/-26, 13/-26, -13/-26, -169/-26, 39/-26, 507/-26, 169/-26, 2197/-26, 1521/-26, 19773/-26, 59319/-26
-1005/-23, 1/-23, -29/-23, -52/-23, 1508/-23, -6/-23, 174/-23, 2704/-23, -78416/-23, 36/-23, -1044/-23, -216/-23
618/-18, 1/-18, 10/-18, -8/-18, -80/-18, 28/-18, 280/-18, 64/-18, 640/-18, 784/-18, 7840/-18, 21952/-18
1464/23, 1/23, 8/23, 31/23, 248/23, -15/23, -120/23, 961/23, 7688/23, 225/23, 1800/23, -3375/23
1410/-23, 1/-23, 6/-23, -17/-23, -102/-23, 29/-23, 174/-23, 289/-23, 1734/-23, 841/-23, 5046/-23, 24389/-23
1725/-25, 1/-25, -5/-25, -30/-25, 150/-25, 20/-25, -100/-25, 900/-25, -4500/-25, 400/-25, -2000/-25, 8000/-25
1509/23, 1/23, -7/23, 16/23, -112/23, -30/23, 210/23, 256/23, -1792/23, 900/23, -6300/23, -27000/23
681/-28, 1/-28, -23/-28, -51/-28, 1173/-28, 5/-28, -115/-28, 2601/-28, -59823/-28, 25/-28, -575/-28, 125/-28
2244/-29, 1/-29, 8/-29, -21/-29, -168/-29, 37/-29, 296/-29, 441/-29, 3528/-29, 1369/-29, 10952/-29, 50653/-29
54/-19, 1/-19, -18/-19, -37/-19, 666/-19, 1/-19, -18/-19, 1369/-19, -24642/-19, 1/-19, -18/-19, 1/-19
843/-23, 1/-23, 15/-23, -8/-23, -120/-23, 38/-23, 570/-23, 64/-23, 960/-23, 1444/-23, 21660/-23, 54872/-23
816/-17, 1/-17, 0/-17, -17/-17, 0/-17, 17/-17, 0/-17, 289/-17, 0/-17, 289/-17, 0/-17, 4913/-17
618/21, 1/21, 16/21, 37/21, 592/21, -5/21, -80/21, 1369/21, 21904/21, 25/21, 400/21, -125/21
423/29, 1/29, -27/29, 2/29, -54/29, -56/29, 1512/29, 4/29, -108/29, 3136/29, -84672/29, -175616/29
1929/-29, 1/-29, 13/-29, -16/-29, -208/-29, 42/-29, 546/-29, 256/-29, 3328/-29, 1764/-29, 22932/-29, 74088/-29
-30/-3, 1/-3, 4/-3, 1/-3, 4/-3, 7/-3, 28/-3, 1/-3, 4/-3, 49/-3, 196/-3, 343/-3
1413/-24, 1/-24, 9/-24, -15/-24, -135/-24, 33/-24, 297/-24, 225/-24, 2025/-24, 1089/-24, 9801/-24, 35937/-24
-1041/-14, 1/-14, 23/-14, 9/-14, 207/-14, 37/-14, 851/-14, 81/-14, 1863/-14, 1369/-14, 31487/-14, 50653/-14
-1308/-16, 1/-16, -26/-16, -42/-16, 1092/-16, -10/-16, 260/-16, 1764/-16, -45864/-16, 100/-16, -2600/-16, -1000/-16
-1632/11, 1/11, -26/11, -15/11, 390/11, -37/11, 962/11, 225/11, -5850/11, 1369/11, -35594/11, -50653/11
-195/-8, 1/-8, -11/-8, -19/-8, 209/-8, -3/-8, 33/-8, 361/-8, -3971/-8, 9/-8, -99/-8, -27/-8
999/-19, 1/-19, -3/-19, -22/-19, 66/-19, 16/-19, -48/-19, 484/-19, -1452/-19, 256/-19, -768/-19, 4096/-19
-2169/2, 1/2, -27/2, -25/2, 675/2, -29/2, 783/2, 625/2, -16875/2, 841/2, -22707/2, -24389/2
2265/-28, 1/-28, -1/-28, -29/-28, 29/-28, 27/-28, -27/-28, 841/-28, -841/-28, 729/-28, -729/-28, 19683/-28
1464/-24, 1/-24, 8/-24, -16/-24, -128/-24, 32/-24, 256/-24, 256/-24, 2048/-24, 1024/-24, 8192/-24, 32768/-24
-528/-5, 1/-5, 14/-5, 9/-5, 126/-5, 19/-5, 266/-5, 81/-5, 1134/-5, 361/-5, 5054/-5, 6859/-5
