a, b, w1, w2
5, -1, 11, 101
-11, -7, -63, -1751
11, 1, 21, 1215
1, 3, -9, 41
6, 4, -7, 266
4, 12, -147, 1934
0, 12, -155, 1886
-7, 5, -43, -235
2, -16, -235, -3850
5, -9, -61, -555
3, 15, -233, 3635
-8, 6, -57, -316
-8, -8, -71, -1030
12, -2, 23, 1580
-6, -8, -67, -706
3, 3, -5, 59
19, -1, 39, 6499
3, -11, -103, -1201
9, 1, 17, 653
4, 8, -63, 634
-2, -16, -243, -3866
-18, -2, -37, -6160
12, -8, -31, 1130
-1, -19, -343, -6517
5, 5, -19, 257
-3, -3, -11, -55
-12, -4, -35, -1922
5, 11, -121, 1565
-9, 3, -29, -769
11, 3, 11, 1251
-16, 0, -31, -4350
6, -6, -17, -4
-2, 12, -159, 1874
6, -8, -43, -274
-8, 6, -57, -316
7, 7, -41, 695
3, 11, -125, 1483
16, 2, 27, 3856
7, 9, -75, 1115
-4, 12, -163, 1806
11, 7, -33, 1611
8, -8, -39, -6
-4, -2, -9, -84
-9, -1, -17, -809
-14, 4, -47, -2854
7, 11, -117, 1759
-3, 13, -187, 2345
-14, -2, -29, -2944
-15, 3, -41, -3559
-1, -15, -211, -3165
8, -4, 5, 398
4, -8, -47, -406
-7, 1, -15, -387
11, 5, -7, 1367
6, 10, -97, 1292
9, -1, 19, 649
11, 9, -67, 2031
-8, -8, -71, -1030
2, 16, -267, 4374
13, -3, 21, 2009
10, 10, -89, 2012
-7, -1, -13, -391
-12, -8, -79, -2326
-10, -4, -31, -1150
-4, 6, -49, 180
3, -3, 1, -1
-16, -2, -33, -4356
-9, -3, -23, -829
-1, -17, -273, -4641
17, 3, 23, 4665
1, 17, -303, 5221
-17, -3, -39, -5221
6, 14, -197, 3136
17, 1, 33, 4629
-5, -9, -81, -805
-7, -9, -85, -1047
-16, 2, -37, -4336
-1, 19, -381, 7239
-9, 1, -19, -805
-2, -12, -135, -1606
-13, 5, -55, -2209
-3, -17, -277, -4675
12, -6, -5, 1400
-9, -5, -37, -913
-11, -5, -41, -1555
2, -18, -301, -5520
0, -2, -1, -4
-2, 8, -75, 574
-3, -15, -215, -3199
-5, 13, -191, 2231
2, 16, -267, 4374
-2, 6, -45, 248
-1, -3, -7, -21
13, -3, 21, 2009
-9, -1, -17, -809
-14, -4, -39, -2990
-5, -5, -29, -253
4, 8, -63, 634
2, -16, -235, -3850
-1, 9, -91, 819

