l(D), deg(D), g
1, 85, 85
7, 66, 60
18, 64, 47
1, 77, 77
66, 76, 11
7, 82, 76
62, 93, 32
4, 80, 77
29, 43, 15
82, 99, 18
23, 89, 67
33, 82, 50
5, 23, 19
12, 48, 37
4, 98, 95
20, 42, 23
56, 76, 21
50, 51, 2
8, 77, 70
4, 68, 65
22, 24, 3
15, 60, 46
54, 61, 8
51, 87, 37
14, 44, 31
38, 69, 32
9, 33, 25
11, 58, 48
27, 78, 52
29, 97, 69
30, 86, 57
56, 72, 17
2, 35, 34
33, 55, 23
17, 76, 60
37, 83, 47
2, 99, 98
5, 99, 95
4, 59, 56
7, 64, 58
9, 99, 91
16, 100, 85
1, 49, 49
10, 28, 19
14, 36, 23
10, 39, 30
17, 32, 16
89, 93, 5
52, 91, 40
51, 63, 13
18, 92, 75
1, 52, 52
5, 21, 17
3, 74, 72
17, 92, 76
24, 70, 47
3, 66, 64
93, 97, 5
56, 93, 38
8, 25, 18
5, 96, 92
2, 97, 96
36, 95, 60
67, 100, 34
21, 69, 49
39, 100, 62
76, 82, 7
37, 67, 31
15, 76, 62
64, 65, 2
9, 55, 47
11, 89, 79
21, 78, 58
1, 23, 23
27, 96, 70
41, 76, 36
13, 93, 81
34, 54, 21
73, 85, 13
1, 94, 94
4, 85, 82
21, 82, 62
3, 48, 46
8, 98, 91
11, 97, 87
11, 25, 15
40, 95, 56
20, 23, 4
11, 97, 87
2, 100, 99
5, 97, 93
16, 62, 47
70, 69, 0
4, 80, 77
11, 87, 77
26, 45, 20
9, 99, 91
50, 85, 36
14, 89, 76
15, 88, 74

